screen_name,status_text,status_created_at
BobTrossetNBCS, mention barrysvrluga Did you leave from Seoul or the media village?,Thu Feb 08 06:31:12 +0000 2018
aimee_lou_lewis," mention ECUADORolimpico hey, would it be possible to interview Klaus Jungbluth for CNN during the Winter Olympics?",Thu Feb 08 06:30:48 +0000 2018
DavidBaden,Check out this fire art that will be set on fire Saturday evenings. #pyeongchang2018 #seaofjapan<e2><80><a6> https.co/ crying DMtWU1xs,Thu Feb 08 06:30:17 +0000 2018
aimee_lou_lewis," mention KlausJungbluth Hi Klaus, would you be free for an interview with CNN at some point during the Winters?",Thu Feb 08 06:27:01 +0000 2018
joyleoxvoe90408,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:25:09 +0000 2018
robhatchtv,20 past 3 in Korea &amp; mention TeamGB<e2><80><99>s Short Track skaters are on the ice for training. Hear from mention Elise_Christie in our<e2><80><a6> https.co/OWBVqpMcwR,Thu Feb 08 06:24:30 +0000 2018
exotakemysoul,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:22:42 +0000 2018
doyeonthedodo, mention NIERPE Hello!,Thu Feb 08 06:22:21 +0000 2018
jongil921,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:21:33 +0000 2018
EilidhBarbour,They<e2><80><99>re made of tough stuff these Winter Olympians! #nails https.co/esnXJlpEMB,Thu Feb 08 06:20:10 +0000 2018
edwardstoner,This guy is very popular in the Main Press Center https.co/dDH5ZNJ2Xf,Thu Feb 08 06:19:58 +0000 2018
ex9_48_claricid,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:19:50 +0000 2018
flowers_0522,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:19:34 +0000 2018
Anikina_ER,"<e2><80><9c>Bach argued that citizens tend to ""eect a return on investment tomorrow and not necessarily in seven or 10 years<e2><80><a6> https.co/vIpsOkm22o",Thu Feb 08 06:19:27 +0000 2018
mlastluvv__21,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:19:23 +0000 2018
jellingworth,Have you ever drunk Yakult and thought <e2><80><9c>what if this was carbonated<e2><80><9d>? South Korea has the answer. https.co/Rs1Ze4OaZ3,Thu Feb 08 06:18:21 +0000 2018
markstani1," mention BobTrossetNBCS From Seoul, most definitely.",Thu Feb 08 06:18:08 +0000 2018
JonnyBramley, mention MarcVesty This is a great watch to get you in the mood for mention pyeongchang2018 ! #WinterOlympics https.co/4vYrDiLK7i,Thu Feb 08 06:17:12 +0000 2018
Anikina_ER,<e2><80><9c>They are all hoping to form part of the Olympic Athletes from Russia team here<e2><80><9d> https.co/Zua0tR1NbQ,Thu Feb 08 06:15:52 +0000 2018
522_HOSUHO,RT mention blazzing56: My holy trinity.. #iHeartAwards #EL #BestFanArmy mention weareoneE https.co/uo0fNYqg9U,Thu Feb 08 06:14:03 +0000 2018
JonnyBramley,The heart of mention BBCSport at #WinterOlympics #PyeongChang2018 https.co/R7S1ZlNqK4,Thu Feb 08 06:10:59 +0000 2018
Darth_Mahle,Met another friendly robot today. #pyeongchang2018 #CBCOlympics #Robot mention PyeongChang https.co/tnQEbbmprW,Thu Feb 08 06:09:47 +0000 2018
abbyy_roseeee, mention MadddMaxxx97 I love you :<e2><80><9d> ),Thu Feb 08 06:09:10 +0000 2018
BobTrossetNBCS, mention markstani1 Was it worth the trip?,Thu Feb 08 06:08:13 +0000 2018
BobTrossetNBCS," mention JoshRobinson23 So, shirt or no shirt?",Thu Feb 08 05:56:12 +0000 2018
Taylor_501,Free sample 3d model interior 18 - https.co/8R9nYpTTli https.co/hNSpbqRb3f,Thu Feb 08 05:55:29 +0000 2018
Taylor_501,FREE SAMPLE INTERIOR 55 https.co/oVhI9VmTNP,Thu Feb 08 05:54:04 +0000 2018
Taylor_501,3D MODELS FREE SAMPLE INTERIOR 61 https.co/nng1j5WtsM,Thu Feb 08 05:53:29 +0000 2018
Taylor_501,3D MODELS FREE SAMPLE INTERIOR 66 https.co/R3Y99jWIBs,Thu Feb 08 05:52:40 +0000 2018
