screen_name,status_text,status_created_at
ktk7424,"010.④②③⑥.⑨⑨⑧⑤
#강남오피
#역삼오피
#선릉오피
#신논현오피
#압구정오피
#신사동오피
#잠실오피
#청담오피
♥♥때묻지 않은 순수한 애기들 항시대기중♥♥",Thu Feb 08 13:42:09 +0000 2018
gurtmfather,"RT @parkkwangon: 정당발전위원회의 혁신안은, 
문재인정부와 민주당을 지지하는 국민, 
그리고 당원분들과 ‘한 몸’입니다.

혁신안의 정신이 온전히 반영되는 것이, 
당원주권을 받드는 것임을 잘 알고 있습니다.

최재성 위원장님을 비롯한…",Thu Feb 08 15:16:01 +0000 2018
BTS201306_13_,@YOONSTAR_0613 쿄쿄!!?,Fri Feb 09 18:16:42 +0000 2018
strongshooky,"RT @bts_love_myself: We have come this far since November 1 2017.

Learn more at https://t.co/kASSleVXLr

2017년 11월 1일 부터 시작한 캠페인의 성과를 공유합니…",Thu Feb 08 17:03:30 +0000 2018
gjy200054,"RT @somsom_0613: 헐.....
기대도 안했는데...
명견만리 당첨돼써

#iHeartAwards #BestFanArmy #BTSARMY  @BTS_twt https://t.co/WkqjQWLqDa",Fri Feb 09 04:23:56 +0000 2018
qvAczAQ5dMWAbsM,@hacknodap 내맘대로 안되는것 ㅜ,Thu Feb 08 08:58:21 +0000 2018
Choi_mejsi_llek,RT @maple140452: ไม่ใช่ว่ามีคนไปตามหาเชือกที่เตนล์ใส่นะ อีเวนนั้นสายสิญจน์😂 #เตนล์ https://t.co/oerQ9naKs8,Fri Feb 09 05:05:03 +0000 2018
barbarafucarpio,"RT @BTS_ARMY: 😘
#BTSARMY 
#BestFanArmy 
#iHeartAwards 
#iHeartContest https://t.co/SPrWzoQedA",Sat Feb 10 14:26:18 +0000 2018
78a50cec3dcf4c8,"RT @BTSARMY_Salon: 김남준 패션 간지 어떡할거야 😭😭😭😭😭😭😭😭 진짜 레이어드 너무 예뿌고 😭😭😭😭😭😭😭😭😭😭😭 Why Namjoon is so perfect 😭😭😭😭😭😭😭😭😭😭

#iHeartAwards #BTSARMY #BestFa…",Fri Feb 09 12:33:31 +0000 2018
syeshin34,RT @insight_co_kr: 저도 같이 울컥...ㅜhttps://t.co/U4gxMDD7V2,Sat Feb 10 06:42:09 +0000 2018
__flametrain,RT @280x265: 흐으응흨흨  https://t.co/mRN7nvNFfR,Thu Feb 08 13:14:54 +0000 2018
nuarunya,RT @MB_destiny9397: พรุ่งนี้แล้วเจ้าจะเข้าพาขวัญญญ อื้อออหื้อออ ทีมเจ้าบ่าวเจ้าสาวพร้อมกันน่าดู แต่ กูทีมคนข้างบ้านไง 5555555 https://t.co/…,Sat Feb 10 04:14:36 +0000 2018
noeypeach,RT @Oh_0ng: Ong's new post on fancafe just screams twitter........shit https://t.co/7ZJ8lMxCZJ,Fri Feb 09 07:27:10 +0000 2018
cubes_bogosipo,RT @sunisseonho: #유선호 #유선호만화 유선호 입덕과정 화질 깨질거같다... ㅋㅋ ㅠㅠ https://t.co/MvlCZxKHqW,Sat Feb 10 10:26:21 +0000 2018
kimtheahun11,"RT @howinjjang: 돈다발 행운 셔틀입니다~ 😈 

알티하고 돈기운 받아가세요~~@

졸업자분들 졸업만세~!!! 키키 https://t.co/X9biEwoIsz",Sat Feb 10 03:36:48 +0000 2018
DM20032002,"RT @itsmemikkaaa: @WWEXOL @intexolteam @EXOGlobal @exouniversetr @exo_lab @EXOL_NAtion @exo_bogixo @weareoneEXO Heart shaped lips 
#iHeartA…",Sat Feb 10 04:06:50 +0000 2018
rabrozia,RT @callmeRang: &lt;새들의 천재성&gt; 최고입니다..! 새 너무 근사하게 진화했네요! 동네 새들이 정말 다 천재로 보이는 책.. 까치 출판사는 이름에 걸맞는 책을 내셨군요! https://t.co/NcdMKN9xg8,Fri Feb 09 03:48:25 +0000 2018
fernki13,"RT @WYM1409: แจกโปสไก่รวม 1 แผ่น เนื่องใน รกมาก จะล้นบ้านแล้วโปส

รี สุ่มไม่แท็ก

สุ่มวันไหนจะเมนชั่นบอกอีกที

ส่งฟรีใส่กระบอกสำหรับฟลว.

#…",Sat Feb 10 01:26:04 +0000 2018
_ssmonster,RT @maple140452: ไม่ใช่ว่ามีคนไปตามหาเชือกที่เตนล์ใส่นะ อีเวนนั้นสายสิญจน์😂 #เตนล์ https://t.co/oerQ9naKs8,Fri Feb 09 04:04:59 +0000 2018
hooooooong18,"RT @GoodDeangH: 라이머 진짜!!!!! 너무 감동ㅠㅠ
졸업식까지 와서 축하해주는 소속사 사장님은 라이머님이 처음입니다!! 짱이에요👍👍 https://t.co/mXnZ0XOA6b",Fri Feb 09 02:39:19 +0000 2018
EN_cls,RT @qlrvkdlqlrvkdl: 존멋 https://t.co/U6CH8ZxhZm,Fri Feb 09 14:07:22 +0000 2018
